代码,简称
CN2642.CNI,中小新兴R
CN2643.CNI,创业新兴R
CN2646.CNI,深消费50R
CN2647.CNI,深医药50R
CN2649.CNI,中小红利R
CN2650.CNI,中小治理R
CN2651.CNI,中小责任R
CN2652.CNI,中创高新R
CN2653.CNI,深证龙头R
CN2654.CNI,深证文化R
CN2669.CNI,深证农业R
CN2670.CNI,深周期50R
CN2671.CNI,深防御50R
CN2693.CNI,安防产业R
CN2695.CNI,深证节能R
CN2696.CNI,深证创投R
CN2698.CNI,优势成长R
CN2699.CNI,金融科技R
S00704.SZ,深证上游R
S00705.SZ,深证中游R
S00706.SZ,深证下游R
399297.SZ,新浪100
399326.SZ,成长40
399644.SZ,深证时钟
399648.SZ,深证GDP100
399697.SZ,中关村60
CN2297.CNI,新浪100R
CN2326.CNI,成长40R
CN2644.CNI,深证时钟R
CN2648.CNI,深证GDPR
CN2697.CNI,中关村60R
CN5061.CNI,深证GDP对冲
899001.CSI,三板成指
899002.CSI,三板做市
899003.CSI,创新成指
899301.CSI,三板龙头
899302.CSI,三板制造
899303.CSI,三板服务
899304.CSI,三板医药
899305.CSI,三板消费
899306.CSI,三板研发
899307.CSI,三板活跃
N99001.CSI,三板成指全收益
N99002.CSI,三板做市全收益
N99003.CSI,创新成指全收益
N99301.CSI,三板龙头全收益
N99302.CSI,三板制造全收益
N99303.CSI,三板服务全收益
N99304.CSI,三板医药全收益
000852.SH,中证1000
000902.CSI,中证流通
000907.CSI,中证700
000980.CSI,中证超大
000985.CSI,中证全指
930903.CSI,中证A股
000300.SH,沪深300
000903.SH,中证100
000904.SH,中证200
000905.SH,中证500
000906.SH,中证800
H00852.SH,中证1000全收益
H20903.CSI,中证A股全收益
H00300.CSI,沪深300全收益
H00903.CSI,中证100全收益
H00904.CSI,中证200全收益
H00905.CSI,中证500全收益
H00907.CSI,中证700全收益
H00906.CSI,中证800全收益
H00980.CSI,中证超大全收益
H00985.CSI,中证全指全收益
H30310.CSI,中证500净收益美元
N00300.CSI,沪深300净收益
N00301.CSI,沪深300净收益美元
N00903.CSI,中证100净收益
N00904.CSI,中证200净收益
N00905.CSI,中证500净收益
N00907.CSI,中证700净收益
N00906.CSI,中证800净收益
N00902.CSI,中证流通净收益
N00980.CSI,中证超大净收益
N00985.CSI,中证全指净收益
000908.CSI,沪深300能源
000909.CSI,沪深300材料
000910.CSI,沪深300工业
000911.CSI,沪深300可选
000912.CSI,沪深300消费
000913.SH,沪深300医药
000914.SH,沪深300金融
000915.CSI,沪深300信息
000916.CSI,沪深300电信
000917.CSI,沪深300公用
H00908.CSI,沪深300能源全收益
H00909.CSI,沪深300材料全收益
H00910.CSI,沪深300工业全收益
H00911.CSI,沪深300可选全收益
H00912.CSI,沪深300消费全收益
H00913.CSI,沪深300医药全收益
H00914.CSI,沪深300金融全收益
H00915.CSI,沪深300信息全收益
H00916.CSI,沪深300电信全收益
H00917.CSI,沪深300公用全收益
N00908.CSI,沪深300能源净收益
N00909.CSI,沪深300材料净收益
N00910.CSI,沪深300工业净收益
N00911.CSI,沪深300可选净收益
N00912.CSI,沪深300消费净收益
N00913.CSI,沪深300医药净收益
N00914.CSI,沪深300金融净收益
N00915.CSI,沪深300信息净收益
N00916.CSI,沪深300电信净收益
N00917.CSI,沪深300公用净收益
L11501.CSI,300能源
L11502.CSI,300材料
L11503.CSI,300资本品
L11506.CSI,300汽车与配件
L11507.CSI,300耐用与服装
L11509.CSI,300媒体
L11510.CSI,300零售
L11512.CSI,300食品饮料
L11515.CSI,300制药生物
L11518.CSI,300保险
L11520.CSI,300软件服务
L11521.CSI,300硬件
L11525.CSI,300公用
L11643.CSI,300资本市场
L01501.CSI,300能源全收益
L01502.CSI,300材料全收益
L01503.CSI,300资本品全收益
L01506.CSI,300汽车与配件全收益
L01507.CSI,300耐用与服装全收益
L01509.CSI,300媒体全收益
L01510.CSI,300零售全收益
L01512.CSI,300食品饮料全收益
L01515.CSI,300制药生物全收益
L01518.CSI,300保险全收益
L01520.CSI,300软件服务全收益
L01521.CSI,300硬件全收益
L01525.CSI,300公用全收益
L11604.CSI,300建材
L11608.CSI,300国防
L11610.CSI,300建筑工程
L11611.CSI,300电气设备
L11613.CSI,300机械
L11617.CSI,300航空公司
L11618.CSI,300海运
L11620.CSI,300交通设施
L11621.CSI,300汽车配件
L11623.CSI,300家庭耐用
L11625.CSI,300纺织服装
L11628.CSI,300媒体
L11630.CSI,300多元零售
L11631.CSI,300专营零售
L11633.CSI,300饮料
L11634.CSI,300食品肉类
L11640.CSI,300制药
L11641.CSI,300商业银行
L11642.CSI,300综合金融服务
L11644.CSI,300保险
L11649.CSI,300电脑
L11655.CSI,300电力
L11658.CSI,300水务
L01604.CSI,300建材全收益
L01606.CSI,300金属采矿全收益
L01608.CSI,300国防全收益
L01610.CSI,300建筑工程全收益
L01611.CSI,300电气设备全收益
L01613.CSI,300机械全收益
L01617.CSI,300航空公司全收益
L01618.CSI,300海运全收益
L01619.CSI,300公路铁路全收益
L01620.CSI,300交通设施全收益
L01621.CSI,300汽车配件全收益
L01623.CSI,300家庭耐用全收益
L01625.CSI,300纺织服装全收益
L01628.CSI,300媒体全收益
L01630.CSI,300多元零售全收益
L01631.CSI,300专营零售全收益
L01633.CSI,300饮料全收益
L01634.CSI,300食品肉类全收益
L01640.CSI,300制药全收益
L01641.CSI,300商业银行全收益
L01642.CSI,300综合金融服务全收益
L01643.CSI,300资本市场全收益
L01644.CSI,300保险全收益
L01649.CSI,300电脑全收益
L01655.CSI,300电力全收益
L01658.CSI,300水务全收益
000854.SH,中证500原料
000856.SH,中证500工业
000857.SH,中证500医药
000858.SH,中证500信息
H30250.CSI,中证500能源
H30253.CSI,中证500可选
H30254.CSI,中证500消费
H30256.CSI,中证500金地
H30258.CSI,中证500电信
H30259.CSI,中证500公用
H20250.CSI,中证500能源全收益
H20251.CSI,中证500原料全收益
H20252.CSI,中证500工业全收益
H20253.CSI,中证500可选全收益
H20254.CSI,中证500消费全收益
H20255.CSI,中证500医药全收益
H20256.CSI,中证500金地全收益
H20257.CSI,中证500信息全收益
H20258.CSI,中证500电信全收益
H20259.CSI,中证500公用全收益
000928.SH,中证能源
000929.CSI,中证材料
000930.CSI,中证工业
000931.CSI,中证可选
000932.SH,中证消费
000933.SH,中证医药
000934.SH,中证金融
000935.SH,中证信息
000936.CSI,中证电信
000937.CSI,中证公用
H00928.CSI,中证能源全收益指数
H00929.CSI,中证原材料全收益指数
H00930.CSI,中证工业全收益指数
H00931.CSI,中证可选消费全收益指数
H00932.CSI,中证主要消费全收益指数
H00933.CSI,中证医药卫生全收益指数
H00934.CSI,中证金融地产全收益指数
H00935.CSI,中证信息技术全收益指数
H00936.CSI,中证电信业务全收益指数
H00937.CSI,中证公用事业全收益指数
000841.SH,中证800医药
399965.SZ,中证800地产
H30010.CSI,中证800能源
H30011.CSI,中证800材料
H30012.CSI,中证800资本
H30013.CSI,中证800商业
H30014.CSI,中证800运输
H30015.CSI,中证800汽车
H30016.CSI,中证800耐用
H30017.CSI,中证800服务
H30018.CSI,中证800媒体
H30019.CSI,中证800零售
H30020.CSI,中证800食零
H30021.CSI,中证800食品
H30022.CSI,中证800银行
H30023.CSI,800资本
H30024.CSI,中证800保险
H30026.CSI,中证800软件
H30027.CSI,中证800硬件
H30028.CSI,中证800半导
H30029.CSI,中证800通信
H30030.CSI,中证800公用
H00841.CSI,中证800医药全收益
H20010.CSI,中证800能源全收益
H20011.CSI,中证800材料全收益
H20012.CSI,中证800资本全收益
H20013.CSI,中证800商业全收益
H20014.CSI,中证800运输全收益
H20015.CSI,中证800汽车全收益
H20016.CSI,中证800耐用全收益
H20017.CSI,中证800服务全收益
H20018.CSI,中证800媒体全收益
H20019.CSI,中证800零售全收益
H20020.CSI,中证800食零全收益
H20021.CSI,中证800食品全收益
H20022.CSI,中证800银行全收益
H20023.CSI,800资本全收益
H20024.CSI,中证800保险全收益
H20025.CSI,中证800地产全收益
H20026.CSI,中证800软件全收益
H20027.CSI,中证800硬件全收益
H20028.CSI,中证800半导全收益
H20029.CSI,中证800通信全收益
